"status","duration","credit_history","purpose","credit_amount","savings_account","employment","installment_rate","personal_status","guarantors","residence_since","property","age","installment_plans","housing","num_credits","job","dependents","telephone","foreign_worker","assessment"
"negative_balance",6,"critical_account","electronics",1169,"unknown_savings","7_or_more_yrs",4,"male_single","none",4,"real_estate",67,"none","own",2,"skilled_employee",1,"registered","yes","good"
"small_balance",48,"current_credits_paid","electronics",5951,"low_savings","1_to_4yrs",2,"female_divorced","none",2,"real_estate",22,"none","own",1,"skilled_employee",1,"none","yes","bad"
"no_account",12,"critical_account","education",2096,"low_savings","4_to_7yrs",2,"male_single","none",3,"real_estate",49,"none","own",1,"unskilled_resident",2,"none","yes","good"
"negative_balance",42,"current_credits_paid","furniture",7882,"low_savings","4_to_7yrs",2,"male_single","guarantor",4,"insurance",45,"none","free",1,"skilled_employee",2,"none","yes","good"
"negative_balance",24,"past_delay","new_car",4870,"low_savings","1_to_4yrs",3,"male_single","none",4,"no_property",53,"none","free",2,"skilled_employee",2,"none","yes","bad"
"no_account",36,"current_credits_paid","education",9055,"unknown_savings","1_to_4yrs",2,"male_single","none",4,"no_property",35,"none","free",1,"unskilled_resident",2,"registered","yes","good"
"no_account",24,"current_credits_paid","furniture",2835,"good_savings","7_or_more_yrs",3,"male_single","none",4,"insurance",53,"none","own",1,"skilled_employee",1,"none","yes","good"
"small_balance",36,"current_credits_paid","used_car",6948,"low_savings","1_to_4yrs",2,"male_single","none",2,"car_or_other",35,"none","rent",1,"management",1,"registered","yes","good"
"no_account",12,"current_credits_paid","electronics",3059,"high_savings","4_to_7yrs",2,"male_divorced","none",4,"real_estate",61,"none","own",1,"unskilled_resident",1,"none","yes","good"
"small_balance",30,"critical_account","new_car",5234,"low_savings","unemployed",4,"male_married","none",2,"car_or_other",28,"none","own",2,"management",1,"none","yes","bad"
"small_balance",12,"current_credits_paid","new_car",1295,"low_savings","less_than_1yr",3,"female_divorced","none",1,"car_or_other",25,"none","rent",1,"skilled_employee",1,"none","yes","bad"
"negative_balance",48,"current_credits_paid","business",4308,"low_savings","less_than_1yr",3,"female_divorced","none",4,"insurance",24,"none","rent",1,"skilled_employee",1,"none","yes","bad"
"small_balance",12,"current_credits_paid","electronics",1567,"low_savings","1_to_4yrs",1,"female_divorced","none",1,"car_or_other",22,"none","own",1,"skilled_employee",1,"registered","yes","good"
"negative_balance",24,"critical_account","new_car",1199,"low_savings","7_or_more_yrs",4,"male_single","none",4,"car_or_other",60,"none","own",2,"unskilled_resident",1,"none","yes","bad"
"negative_balance",15,"current_credits_paid","new_car",1403,"low_savings","1_to_4yrs",2,"female_divorced","none",4,"car_or_other",28,"none","rent",1,"skilled_employee",1,"none","yes","good"
"negative_balance",24,"current_credits_paid","electronics",1282,"moderate_savings","1_to_4yrs",4,"female_divorced","none",2,"car_or_other",32,"none","own",1,"unskilled_resident",1,"none","yes","bad"
"no_account",24,"critical_account","electronics",2424,"unknown_savings","7_or_more_yrs",4,"male_single","none",4,"insurance",53,"none","own",2,"skilled_employee",1,"none","yes","good"
"negative_balance",30,"no_credits","business",8072,"unknown_savings","less_than_1yr",2,"male_single","none",3,"car_or_other",25,"bank","own",3,"skilled_employee",1,"none","yes","good"
"small_balance",24,"current_credits_paid","used_car",12579,"low_savings","7_or_more_yrs",4,"female_divorced","none",2,"no_property",44,"none","free",1,"management",1,"registered","yes","bad"
"no_account",24,"current_credits_paid","electronics",3430,"good_savings","7_or_more_yrs",3,"male_single","none",2,"car_or_other",31,"none","own",1,"skilled_employee",2,"registered","yes","good"
"no_account",9,"critical_account","new_car",2134,"low_savings","1_to_4yrs",4,"male_single","none",4,"car_or_other",48,"none","own",3,"skilled_employee",1,"registered","yes","good"
"negative_balance",6,"current_credits_paid","electronics",2647,"good_savings","1_to_4yrs",2,"male_single","none",3,"real_estate",44,"none","rent",1,"skilled_employee",2,"none","yes","good"
"negative_balance",10,"critical_account","new_car",2241,"low_savings","less_than_1yr",1,"male_single","none",3,"real_estate",48,"none","rent",2,"unskilled_resident",2,"none","no","good"
